INDEX  ROW  COLUMN R   G   B
4396   35   44     166 160 156
4397   35   45     164 162 159
4398   35   46     171 165 164
4400   35   48     167 165 159
4401   35   49     164 162 156
4402   35   50     168 163 158
4403   35   51     172 170 164
4404   35   52     168 169 165
4405   35   53     158 153 148
4406   35   54     129 122 115
4407   35   55     99  82  69
4412   35   60     97  53  31
4413   35   61     100 58  33
4414   35   62     105 57  33
4415   35   63     104 59  37
4416   35   64     108 68  42
4417   35   65     109 73  52
4418   35   66     112 75  52
4419   35   67     100 74  49
4420   35   68     91  63  43
4424   35   72     97  55  26
4425   35   73     104 62  34
4426   35   74     99  64  35
4427   35   75     92  64  39
4428   35   76     94  64  40
4437   35   85     95  82  53
4438   35   86     116 99  69
4439   35   87     123 102 73
4440   35   88     110 91  65
4441   35   89     94  73  50
4444   35   92     95  70  49
4445   35   93     105 80  53
4446   35   94     107 77  53
4447   35   95     98  73  50
4451   35   99     116 106 99
4452   35   100    146 137 138
4454   35   102    169 170 166
4467   35   115    184 187 188
4469   35   117    181 183 186
4470   35   118    161 158 159
4471   35   119    113 107 103
4475   35   123    98  59  32
4476   35   124    110 77  47
4477   35   125    110 79  52
4478   35   126    92  63  46
4479   35   127    94  62  41
4480   35   128    94  62  41
4506   36   26     182 183 185
4507   36   27     183 186 189
4510   36   30     147 141 137
4511   36   31     120 108 99
4512   36   32     98  78  64
4513   36   33     93  73  59
4514   36   34     104 90  74
4515   36   35     123 112 99
4516   36   36     138 134 124
4517   36   37     145 141 132
4518   36   38     151 144 140
4519   36   39     150 143 133
4520   36   40     150 143 134
4521   36   41     148 141 131
4522   36   42     148 138 126
4523   36   43     139 130 119
4524   36   44     136 128 117
4525   36   45     139 128 117
4526   36   46     141 136 122
4527   36   47     141 136 122
4528   36   48     141 131 117
4529   36   49     133 130 115
4530   36   50     139 127 120
4531   36   51     138 137 128
4532   36   52     142 132 126
4533   36   53     133 122 111
4534   36   54     112 99  82
4535   36   55     95  70  53
4538   36   58     97  56  38
4539   36   59     100 58  38
4540   36   60     102 57  35
4541   36   61     101 57  30
4542   36   62     102 55  32
4543   36   63     101 55  34
4544   36   64     104 64  36
4545   36   65     102 63  45
4546   36   66     102 71  45
4547   36   67     95  69  44
4552   36   72     97  60  36
4553   36   73     103 65  39
4554   36   74     100 66  38
4555   36   75     95  63  41
4556   36   76     92  63  43
4564   36   84     92  77  45
4565   36   85     109 92  61
4566   36   86     125 107 77
4567   36   87     126 105 73
4568   36   88     114 91  63
4569   36   89     98  71  47
4572   36   92     94  68  38
4573   36   93     99  69  44
4574   36   94     97  67  40
4579   36   99     104 96  85
4580   36   100    129 118 116
4581   36   101    142 135 128
4582   36   102    142 136 132
4583   36   103    148 144 142
4584   36   104    161 159 156
4585   36   105    176 171 173
4592   36   112    187 183 182
4593   36   113    184 187 188
4595   36   115    178 181 182
4598   36   118    133 131 128
4599   36   119    91  81  72
4603   36   123    107 70  38
4604   36   124    120 79  46
4605   36   125    116 71  41
4607   36   127    91  57  31
4608   36   128    91  57  31
4631   37   23     182 184 179
4633   37   25     181 184 186
4636   37   28     170 167 164
4637   37   29     155 152 149
4638   37   30     131 121 114
4639   37   31     111 92  84
4640   37   32     101 81  61
4641   37   33     105 86  69
4642   37   34     121 108 92
4643   37   35     134 123 110
4644   37   36     138 131 121
4645   37   37     135 128 115
4646   37   38     133 123 108
4647   37   39     126 116 97
4648   37   40     125 116 94
4649   37   41     127 110 92
4650   37   42     123 110 88
4651   37   43     115 102 82
4652   37   44     116 101 77
4653   37   45     112 104 80
4654   37   46     118 105 83
4655   37   47     118 102 83
4656   37   48     114 99  78
4657   37   49     109 95  78
4658   37   50     111 102 80
4659   37   51     115 103 89
4660   37   52     113 102 88
4661   37   53     109 93  72
4662   37   54     103 80  57
4663   37   55     103 70  43
4664   37   56     108 67  46
4665   37   57     115 70  47
4666   37   58     117 72  49
4667   37   59     116 67  43
4668   37   60     107 64  37
4669   37   61     105 57  32
4670   37   62     101 58  31
4671   37   63     102 56  35
4672   37   64     102 65  37
4673   37   65     101 65  41
4674   37   66     103 71  45
4675   37   67     97  68  49
4676   37   68     97  67  43
4677   37   69     91  62  42
4678   37   70     92  60  41
4679   37   71     97  61  37
4680   37   72     99  69  41
4681   37   73     104 70  42
4682   37   74     99  67  41
4683   37   75     99  68  42
4684   37   76     95  68  42
4685   37   77     94  71  44
